Project Ref,"Calculation Design
Stage",UK District,GIFA (m2),Project Value (£m),Value Type,Project Sector,Construction Type,Storeys (#),Passivhaus?,Basement Type,Foundation Type,Ground Floor Type,Superstructure Type,Cladding Type,"Carbon A1-A3
(kgCO2e)","Carbon A1-A5
(kgCO2e)","Carbon A1-C4
(kgCO2e)","Carbon A1-D
(kgCO2e)","A1-A3 Rate
(kgCO2e/m2)","A1-A5 Rate
(kgCO2e/m2)","A1-C4 Rate
(kgCO2e/m2)","A1-D Rate
(kgCO2e/m2)","Construction Carbon
(A1-A5) (kgCO2e)","Construction %
Carbon (A1-A5)","Concrete Total Mass
(kg)","Concrete Total
Carbon (A1-A5)
(kgCO2e)","Concrete % Carbon
(A1-A5)","Masonry & Blockwork
Total Area (m2)","Masonry & Blockwork
Total Carbon (A1-A5)
(kgCO2e)","Masonry % Blockwork
% Carbon (A1-A5)","Reinforcement Total
Mass (kg)","Reinforcement Total
Carbon (A1-A5)
(kgCO2e)","Reinforcement %
Carbon (A1-A5)","Steel (Other) Total
Mass (kg)","Steel (Other) Total
Carbon (A1-A5)
(kgCO2e)","Steel (Other) %
Carbon (A1-A5)","Steel (Sections) Total
Mass (kg)","Steel (Sections) Total
Carbon (A1-A5)
(kgCO2e)","Steel (Sections) %
Carbon (A1-A5)","Timber (Plain) Total
Mass (kg)","Timber (Plain) Total
Carbon (A1-A5)
(kgCO2e)","Timber (Plain) %
Carbon (A1-A5)","Timber (Products)
Total Mass (kg)","Timber (Products)
Total Carbon (A1-A5)
(kgCO2e)","Timber (Products) %
Carbon (A1-A5)",Project Sector_Commercial,Project Sector_Cultural/Public,Project Sector_Educational,Project Sector_Healthcare,Project Sector_Industrial,Project Sector_Mixed Use,Project Sector_Other,Project Sector_Residential (Multi),Project Sector_Residential (Single),Project Sector_Science/Lab
1,Stage 4,OX4,5642,15.0,Whole Building,Residential (Multi),New Build (Greenfield),2,No,None,Mass Pads/Strips,Suspended Precast,Masonry/Timber,Masonry Only,776263,1136232,1269140,1220792,137.6,201.4,224.9,216.4,105000,0.092,2639542,212753,0.187,21635,654510,0.576,7617,16219,0.014,6150,19091,0.017,2450,3915,0.003,45863,17598,0.015,109390,107145,0.094,0,0,0,0,0,0,0,1,0,0
3,As-Built,TW3,9862,24.0,Whole Building,Educational,New Build (Brownfield),3,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,3119642,3637755,3812153,3365251,316.3,368.9,386.5,341.2,168000,0.046,13014984,1928667,0.53,7160,298775,0.082,541234,1152467,0.317,0,0,0.0,55614,88878,0.024,1947,968,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
5,Stage 3,N15,2290,2.0,Whole Building,Residential (Multi),New Build (Greenfield),3,No,None,Mass Pads/Strips,Suspended Precast,Masonry/Timber,Masonry Only,252796,328798,358757,343081,110.4,143.6,156.7,149.8,14000,0.043,999470,160833,0.489,4165,93293,0.284,0,0,0.0,0,0,0.0,30082,48074,0.146,25341,12597,0.038,0,0,0.0,0,0,0,0,0,0,0,1,0,0
6,Stage 3,BS16,1330,2.5,Whole Building,Residential (Multi),New Build (Brownfield),3,No,None,Mass Pads/Strips,Suspended Precast,Masonry/Timber,Masonry Only,276743,395560,435199,421671,208.1,297.4,327.2,317.0,17500,0.044,676453,93760,0.237,4112,246468,0.623,4662,9927,0.025,0,0,0.0,0,0,0.0,29509,11959,0.03,16280,15946,0.04,0,0,0,0,0,0,0,1,0,0
7,As-Built,IP31,1050,4.2,Whole Building,Cultural/Public,New Build (Greenfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Masonry/Timber,Masonry Only,296431,392868,438216,419961,282.3,374.2,417.3,400.0,29400,0.075,1734000,152248,0.388,3789,151058,0.384,5000,10647,0.027,0,0,0.0,25000,39953,0.102,27000,9563,0.024,0,0,0.0,0,1,0,0,0,0,0,0,0,0
8,Stage 5,SK17,876,1.5,Whole Building,Commercial,Mixed New Build/Refurb,3,No,Partial Footprint,Mass Pads/Strips,Suspended RC,Steel Frame/Precast,Masonry Only,239946,295119,316945,285115,273.9,336.9,361.8,325.5,10500,0.036,814220,97798,0.331,3669,82180,0.278,23639,50336,0.171,0,0,0.0,29421,47018,0.159,14660,7287,0.025,0,0,0.0,1,0,0,0,0,0,0,0,0,0
9,As-Built,W7,1400,4.5,Whole Building,Residential (Multi),New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended RC,Masonry/Concrete,Masonry Only,289488,378672,405200,385486,206.8,270.5,289.4,275.3,31500,0.083,1175125,156266,0.413,3395,137769,0.364,24955,53138,0.14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
10,As-Built,SN8,1534,9.0,Whole Building,Residential (Single),New Build (Greenfield),2,No,Partial Footprint,Raft,Suspended RC,Masonry/Concrete,Masonry/Stone,458585,603764,643842,580761,298.9,393.6,419.7,378.6,63000,0.104,1849680,221934,0.368,3056,141256,0.234,70058,149177,0.247,0,0,0.0,12948,20692,0.034,15500,7705,0.013,0,0,0.0,0,0,0,0,0,0,0,0,1,0
11,Stage 2,W6,1700,3.0,Whole Building,Residential (Multi),New Build (Brownfield),4,No,Full Footprint,Raft,Suspended RC,Masonry/Concrete,Masonry Only,510817,607903,639998,575344,300.5,357.6,376.5,338.4,21000,0.035,1645549,295658,0.486,2643,119513,0.197,76745,163416,0.269,0,0,0.0,5204,8316,0.014,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
12,As-Built,OX12,1975,12.3,Whole Building,Residential (Single),Mixed New Build/Refurb,3,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,838146,1028051,1107449,962694,424.4,520.5,560.7,487.4,86100,0.084,4394975,467267,0.455,2490,78249,0.076,174037,370583,0.36,0,0,0.0,11147,17814,0.017,16170,8038,0.008,0,0,0.0,0,0,0,0,0,0,0,0,1,0
13,Stage 4,CB2,300,3.0,Whole Building,Educational,New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended RC,Masonry/Timber,Masonry Only,171056,230019,244964,221828,570.2,766.7,816.5,739.4,21000,0.091,356375,47759,0.208,2470,97137,0.422,25085,53414,0.232,0,0,0.0,1727,2760,0.012,9320,4633,0.02,3385,3316,0.014,0,0,1,0,0,0,0,0,0,0
14,As-Built,SL6,648,6.0,Whole Building,Residential (Single),New Build (Brownfield),2,No,None,Piled Ground Beams,Suspended Precast,Masonry/Timber,Masonry/Stone,193785,280516,299575,269423,299.1,432.9,462.3,415.8,42000,0.15,542248,62808,0.224,2284,94921,0.338,18447,39280,0.14,7920,24585,0.088,6250,9988,0.036,13950,6935,0.025,0,0,0.0,0,0,0,0,0,0,0,0,1,0
16,As-Built,W1,7922,40.0,Whole Building,Commercial,New Build (Brownfield),7,No,Full Footprint,Raft,Suspended RC,Concrete (In-Situ),Masonry/Stone,2057079,2530339,2638266,2273561,259.7,319.4,333.0,287.0,280000,0.111,7707360,1142140,0.451,2160,109021,0.043,450204,958634,0.379,0,0,0.0,24180,38642,0.015,3825,1901,0.001,0,0,0.0,1,0,0,0,0,0,0,0,0,0
17,Stage 4,IG7,3400,20.0,Whole Building,Educational,New Build (Brownfield),1,No,None,Reinforced Pads/Strips,Suspended RC,Other,Masonry Only,828212,1075496,1147248,1015166,243.6,316.3,337.4,298.6,140000,0.13,3546166,374071,0.348,2110,118248,0.11,103039,219404,0.204,0,0,0.0,123396,197201,0.183,10689,5313,0.005,29898,21258,0.02,0,0,1,0,0,0,0,0,0,0
18,Stage 5,NW3,1024,2.5,Whole Building,Residential (Single),New Build (Brownfield),4,No,Full Footprint,Raft,Suspended RC,Masonry/Concrete,Masonry Only,486044,581974,615048,556359,474.7,568.3,600.6,543.3,17500,0.03,1363512,195611,0.336,1940,210008,0.361,72100,153525,0.264,0,0,0.0,1638,2618,0.004,5456,2712,0.005,0,0,0.0,0,0,0,0,0,0,0,0,1,0
19,As-Built,OX1,2400,7.3,Whole Building,Educational,New Build (Greenfield),3,No,None,Piled Ground Beams,Suspended RC,Masonry/Concrete,Masonry/SFS,387459,500672,532196,486714,161.4,208.6,221.7,202.8,51100,0.102,1566650,213137,0.426,1940,103961,0.208,51331,109301,0.218,0,0,0.0,14500,23173,0.046,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
20,Stage 2,W8,3381,55.0,Whole Building,Residential (Single),Full Refurb,5,No,Full Footprint,Piles (Pile Caps),Suspended RC,Masonry/Timber,Masonry/Stone,4090908,4852199,5034011,4155826,1210.0,1435.1,1488.9,1229.2,385000,0.079,14626032,1922790,0.396,1883,154047,0.032,1096255,2334291,0.481,0,0,0.0,33111,52916,0.011,1830,910,0.0,2292,2245,0.0,0,0,0,0,0,0,0,0,1,0
21,Stage 3,SE5,2450,6.5,Whole Building,Residential (Multi),New Build (Brownfield),4,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,671614,795920,846698,737678,274.1,324.9,345.6,301.1,45500,0.057,2878644,385572,0.484,1855,69702,0.088,124660,265443,0.334,312,969,0.001,7020,11219,0.014,28380,10052,0.013,7620,7464,0.009,0,0,0,0,0,0,0,1,0,0
22,As-Built,CB3,398,0.7,Whole Building,Residential (Multi),New Build (Greenfield),3,No,None,Piled Ground Beams,Other,Other,Masonry Only,95701,123003,131393,124375,240.5,309.1,330.1,312.5,4900,0.04,174065,38421,0.312,1854,59311,0.482,5843,12442,0.101,0,0,0.0,4377,6995,0.057,1063,376,0.003,569,557,0.005,0,0,0,0,0,0,0,1,0,0
23,Stage 2,TW13,678,1.4,Whole Building,Residential (Multi),New Build (Greenfield),2,No,None,Mass Pads/Strips,Other,Masonry/Timber,Masonry Only,99986,137562,154239,147040,147.5,202.9,227.5,216.9,9800,0.071,542917,49469,0.36,1822,53905,0.392,1468,3126,0.023,0,0,0.0,8826,14105,0.103,10686,3785,0.028,3443,3373,0.025,0,0,0,0,0,0,0,1,0,0
24,As-Built,SW19,950,3.1,Whole Building,Residential (Multi),New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended RC,Masonry/Timber,Masonry Only,155108,207943,230465,201559,163.3,218.9,242.6,212.2,21700,0.104,508856,54101,0.26,1804,56692,0.273,24334,51815,0.249,2363,7335,0.035,4000,6392,0.031,13171,4665,0.022,11027,5243,0.025,0,0,0,0,0,0,0,1,0,0
25,Stage 5,OX1,904,7.0,Whole Building,Educational,New Build (Greenfield),1,No,None,Piled Ground Beams,Suspended Precast,Steel Frame/Other,Masonry/Stone,371085,467411,491625,444158,410.5,517.0,543.8,491.3,49000,0.105,1440456,185092,0.396,1787,74444,0.159,11937,25418,0.054,10816,33575,0.072,54047,86373,0.185,19275,9582,0.02,5768,3927,0.008,0,0,1,0,0,0,0,0,0,0
26,As-Built,NW8,1154,5.0,Whole Building,Residential (Single),New Build (Brownfield),4,No,Full Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,581603,681169,714103,615938,504.0,590.3,618.8,533.7,35000,0.051,2489513,333343,0.489,1541,48427,0.071,124030,264101,0.388,0,0,0.0,0,0,0.0,840,298,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
27,Stage 4,TN31,1200,7.0,Whole Building,Cultural/Public,Mixed New Build/Refurb,2,No,None,Piles (Pile Caps),Ground Bearing RC,Masonry/Timber,Masonry Only,147630,220592,234619,206168,123.0,183.8,195.5,171.8,49000,0.222,357001,46041,0.209,1468,32885,0.149,15783,33608,0.152,3775,14755,0.067,17824,28484,0.129,7202,2551,0.012,20764,13268,0.06,0,1,0,0,0,0,0,0,0,0
28,As-Built,NW2,544,2.0,Whole Building,Residential (Multi),New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended Precast,Masonry/Timber,Masonry Only,86529,121210,131072,110780,159.1,222.8,240.9,203.6,14000,0.116,174600,17431,0.144,1394,40307,0.333,6746,14364,0.119,9785,30375,0.251,0,0,0.0,9520,4732,0.039,0,0,0.0,0,0,0,0,0,0,0,1,0,0
29,Stage 5,OX3,662,4.0,Whole Building,Residential (Single),New Build (Brownfield),2,No,Full Footprint,Piles (Pile Caps),Suspended RC,Masonry/Timber,Other,296741,361597,383900,329985,448.2,546.2,579.9,498.5,28000,0.077,1159200,155225,0.429,1343,30082,0.083,58860,125333,0.347,0,0,0.0,6594,10538,0.029,14060,4980,0.014,10000,7438,0.021,0,0,0,0,0,0,0,0,1,0
30,As-Built,KT4,517,5.3,Whole Building,Residential (Multi),New Build (Greenfield),3,No,None,Mass Pads/Strips,Suspended Precast,Masonry/Concrete,Masonry Only,86160,140782,152469,146368,166.7,272.3,294.9,283.1,37100,0.264,476316,44949,0.319,1209,38017,0.27,3835,8166,0.058,0,0,0.0,6708,10720,0.076,3680,1829,0.013,0,0,0.0,0,0,0,0,0,0,0,1,0,0
31,Stage 2,TW13,421,0.8,Whole Building,Residential (Multi),New Build (Brownfield),2,No,None,Mass Pads/Strips,Other,Masonry/Timber,Masonry Only,74133,100496,113779,110488,176.1,238.7,270.3,262.4,5600,0.056,570248,49265,0.49,1189,35178,0.35,932,1985,0.02,96,298,0.003,2256,3605,0.036,6052,2927,0.029,1673,1639,0.016,0,0,0,0,0,0,0,1,0,0
32,Stage 4,CB22,579,1.8,Whole Building,Residential (Single),New Build (Brownfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Masonry/Timber,Masonry Only,120473,153851,166059,157976,208.1,265.7,286.8,272.8,12600,0.082,566742,70892,0.461,1180,40818,0.265,3567,7595,0.049,0,0,0.0,12034,19232,0.125,5460,2714,0.018,0,0,0.0,0,0,0,0,0,0,0,0,1,0
33,Stage 4,W6,325,2.0,Whole Building,Residential (Multi),New Build (Greenfield),4,No,Partial Footprint,Reinforced Pads/Strips,Timber,Steel Frame/Timber,Masonry Only,95977,127919,135837,121225,295.3,393.6,418.0,373.0,14000,0.109,247690,33152,0.259,1038,35367,0.276,13626,29014,0.227,0,0,0.0,6780,10835,0.085,3062,1522,0.012,4113,4029,0.031,0,0,0,0,0,0,0,1,0,0
34,As-Built,SW3,867,6.0,Whole Building,Residential (Single),New Build (Greenfield),4,No,Full Footprint,Raft,Suspended RC,Steel Frame/Other,Masonry Only,259893,333515,352655,308943,299.8,384.7,406.8,356.3,42000,0.126,1080888,127221,0.381,970,38181,0.114,48853,104024,0.312,0,0,0.0,12628,20181,0.061,3838,1908,0.006,0,0,0.0,0,0,0,0,0,0,0,0,1,0
35,Stage 5,CB3,590,4.0,Whole Building,Residential (Single),New Build (Brownfield),1,No,Full Footprint,Piles (Pile Caps),Suspended RC,Steel Frame/Timber,Masonry Only,305147,376248,400090,355703,517.2,637.7,678.1,602.9,28000,0.074,1261571,160102,0.426,968,47567,0.126,44510,94777,0.252,0,0,0.0,10490,16764,0.045,0,0,0.0,34157,29039,0.077,0,0,0,0,0,0,0,0,1,0
36,Stage 3,CM6,209,0.4,Whole Building,Residential (Single),New Build (Greenfield),2,No,None,Piled Ground Beams,Other,Masonry/Timber,Masonry Only,77866,96143,103214,94734,372.6,460.0,493.8,453.3,2800,0.029,222597,28988,0.302,835,40152,0.418,7554,16086,0.167,0,0,0.0,924,1477,0.015,6741,3228,0.034,3484,3413,0.035,0,0,0,0,0,0,0,0,1,0
37,Stage 3,SE17,1400,3.0,Whole Building,Mixed Use,New Build (Greenfield),4,No,None,Piles (Pile Caps),Ground Bearing RC,Concrete (In-Situ),Masonry Only,456914,524227,549537,461006,326.4,374.4,392.5,329.3,21000,0.04,1676032,224502,0.428,805,39557,0.075,111720,237889,0.454,0,0,0.0,800,1278,0.002,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0
38,Stage 5,W3,360,0.9,Whole Building,Residential (Single),New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended Precast,Masonry/Concrete,Masonry Only,88371,110736,117274,109662,245.5,307.6,325.8,304.6,6300,0.057,249060,52549,0.475,804,30614,0.276,7102,15123,0.137,0,0,0.0,2369,3786,0.034,1706,848,0.008,1548,1516,0.014,0,0,0,0,0,0,0,0,1,0
39,Stage 2,TW13,305,0.6,Whole Building,Residential (Single),New Build (Brownfield),3,No,None,Reinforced Pads/Strips,Other,Masonry/Concrete,Masonry Only,66250,84259,89386,80889,217.2,276.3,293.1,265.2,4200,0.05,146206,36340,0.431,745,22042,0.262,6033,12847,0.152,1541,4784,0.057,1778,2842,0.034,1264,448,0.005,772,756,0.009,0,0,0,0,0,0,0,0,1,0
40,As-Built,SL6,1100,2.4,Whole Building,Healthcare,New Build (Greenfield),2,No,None,Piles (Pile Caps),Suspended RC,Steel Frame/Timber,Masonry/SFS,228628,272513,290708,258486,207.8,247.7,264.3,235.0,16800,0.062,842113,121690,0.447,717,21212,0.078,18115,38573,0.142,0,0,0.0,40425,64604,0.237,19380,9634,0.035,0,0,0.0,0,0,0,1,0,0,0,0,0,0
41,Stage 2,TW13,227,0.7,Whole Building,Residential (Single),New Build (Brownfield),2,No,None,Reinforced Pads/Strips,Other,Masonry/Concrete,Masonry Only,46294,62118,67498,64299,203.9,273.6,297.3,283.3,4900,0.079,183040,29994,0.483,596,17637,0.284,719,1531,0.025,216,671,0.011,3862,6171,0.099,1273,451,0.007,778,762,0.012,0,0,0,0,0,0,0,0,1,0
42,Stage 2,TW13,222,0.6,Whole Building,Residential (Single),New Build (Brownfield),2,No,None,Mass Pads/Strips,Other,Concrete (Precast),Masonry Only,45070,60398,66705,63907,203.0,272.1,300.5,287.9,4200,0.07,253137,30396,0.503,593,17552,0.291,698,1486,0.025,305,947,0.016,2450,3915,0.065,1978,725,0.012,1202,1177,0.019,0,0,0,0,0,0,0,0,1,0
43,Stage 4,OX3,353,1.4,Whole Building,Cultural/Public,Mixed New Build/Refurb,1,No,None,Reinforced Pads/Strips,Suspended Precast,Steel Frame/Timber,Masonry Only,63193,83633,90989,84469,179.0,236.9,257.8,239.3,9800,0.117,324373,30632,0.366,591,18510,0.221,2759,5874,0.07,0,0,0.0,11237,17959,0.215,2420,857,0.01,0,0,0.0,0,1,0,0,0,0,0,0,0,0
44,Stage 5,SE16,7284,8.5,Whole Building,Residential (Multi),New Build (Brownfield),6,No,None,Mass Pads/Strips,Ground Bearing RC,Concrete (In-Situ),Masonry/SFS,1973563,2219310,2369117,1912370,270.9,304.7,325.2,262.5,59500,0.027,8360159,909158,0.41,539,27994,0.013,535090,1139385,0.513,24727,76758,0.035,4077,6516,0.003,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
45,Stage 4,PE29,5163,15.0,Whole Building,Healthcare,New Build (Brownfield),2,No,None,Reinforced Pads/Strips,Ground Bearing RC,Concrete (In-Situ),Lightweight Only,2743981,3080920,3200620,2573441,531.5,596.7,619.9,498.4,105000,0.034,9241175,1230541,0.399,534,16796,0.005,767922,1635161,0.531,978,3036,0.001,56557,90385,0.029,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
46,Stage 2,TW13,187,0.6,Whole Building,Residential (Single),New Build (Brownfield),2,No,None,Reinforced Pads/Strips,Other,Masonry/Concrete,Masonry Only,38228,51863,56948,55598,204.4,277.3,304.5,297.3,4200,0.081,215430,30373,0.586,492,14562,0.281,484,1031,0.02,0,0,0.0,853,1364,0.026,945,335,0.006,0,0,0.0,0,0,0,0,0,0,0,0,1,0
47,Stage 4,MK17,431,0.5,Whole Building,Residential (Single),New Build (Greenfield),2,No,None,Mass Pads/Strips,Suspended Precast,Steel Frame/Timber,Other,108264,128924,139233,130638,251.2,299.1,323.0,303.1,3500,0.027,515885,70006,0.543,467,19937,0.155,391,833,0.006,417,1294,0.01,15700,25090,0.195,4836,2074,0.016,6319,6189,0.048,0,0,0,0,0,0,0,0,1,0
48,As-Built,WD6,1900,6.3,Whole Building,Educational,New Build (Brownfield),4,No,Full Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,711121,822034,862493,740578,374.3,432.6,453.9,389.8,44100,0.054,3150000,420089,0.511,460,21256,0.026,147000,313012,0.381,1000,3104,0.004,12500,19976,0.024,1000,497,0.001,0,0,0.0,0,0,1,0,0,0,0,0,0,0
49,Stage 3,IP13,291,0.6,Whole Building,Residential (Single),New Build (Greenfield),1,No,None,Piled Ground Beams,Suspended Precast,Other,Masonry Only,176324,205306,215997,187989,605.9,705.5,742.3,646.0,4200,0.02,446924,73127,0.356,456,49363,0.24,31491,67055,0.327,0,0,0.0,5949,9507,0.046,2185,774,0.004,0,0,0.0,0,0,0,0,0,0,0,0,1,0
50,Stage 3,NW6,4117,7.0,Structure Only,Residential (Multi),New Build (Brownfield),11,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1281970,1496774,1567063,1319568,311.4,363.6,380.6,320.5,98000,0.065,5332925,714118,0.477,421,17568,0.012,313285,667088,0.446,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
51,Stage 4,SW10,230,1.75,Whole Building,Residential (Single),New Build (Brownfield),5,No,Full Footprint,Raft,Suspended RC,Steel Frame/Composite,Masonry Only,47918,67297,71234,65893,208.3,292.6,309.7,286.5,12250,0.182,177602,23808,0.354,419,14696,0.218,4880,10392,0.154,0,0,0.0,3568,5702,0.085,1265,448,0.007,0,0,0.0,0,0,0,0,0,0,0,0,1,0
52,Stage 2,TW13,128,0.3,Whole Building,Residential (Single),New Build (Brownfield),2,No,None,Mass Pads/Strips,Other,Masonry/Timber,Masonry Only,21909,30694,34040,32481,171.2,239.8,265.9,253.8,2100,0.068,93235,7533,0.245,399,15887,0.518,126,268,0.009,279,866,0.028,2010,3212,0.105,1651,585,0.019,247,242,0.008,0,0,0,0,0,0,0,0,1,0
53,As-Built,KT24,3499,6.0,Whole Building,Cultural/Public,New Build (Greenfield),6,No,Partial Footprint,Piled Ground Beams,Suspended Precast,Steel Frame/Precast,Masonry Only,788399,885170,930851,782854,225.3,253.0,266.0,223.7,42000,0.047,2190245,268146,0.303,394,8815,0.01,78094,166287,0.188,0,0,0.0,245231,391907,0.443,6783,3372,0.004,6818,4642,0.005,0,1,0,0,0,0,0,0,0,0
54,As-Built,SM6,220,0.8,Whole Building,Educational,New Build (Brownfield),1,No,None,Piled Ground Beams,Suspended RC,Masonry/Timber,Masonry Only,61075,76080,81422,72058,277.6,345.8,370.1,327.5,5600,0.074,254987,31781,0.418,378,13647,0.179,10844,23090,0.304,0,0,0.0,0,0,0.0,3082,1532,0.02,630,429,0.006,0,0,1,0,0,0,0,0,0,0
55,Stage 4,OX7,1153,2.4,Whole Building,Residential (Multi),Mixed New Build/Refurb,2,No,None,Mass Pads/Strips,Ground Bearing RC,Masonry/Timber,Masonry/Stone,173476,211778,227420,200096,150.5,183.7,197.2,173.5,16800,0.079,831776,104716,0.494,361,14967,0.071,30157,64215,0.303,217,674,0.003,3531,5643,0.027,9361,4688,0.022,0,0,0.0,0,0,0,0,0,0,0,1,0,0
56,As-Built,LN1,1163,1.8,Whole Building,Industrial,New Build (Brownfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Concrete (Precast),Lightweight/SFS,228366,263647,280439,230414,196.4,226.7,241.1,198.1,12600,0.048,839829,74126,0.281,359,10621,0.04,3591,7646,0.029,20368,63226,0.24,59713,95427,0.362,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0
57,Stage 5,CT2,8118,26.0,Whole Building,Educational,New Build (Brownfield),4,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Lightweight Only,2911820,3358306,3519727,3003969,358.7,413.7,433.6,370.0,182000,0.054,12859276,1721952,0.513,354,14772,0.004,607874,1294366,0.385,0,0,0.0,70049,111946,0.033,0,0,0.0,54517,33269,0.01,0,0,1,0,0,0,0,0,0,0
58,As-Built,OX12,456,0.5,Whole Building,Residential (Single),Mixed New Build/Refurb,2,No,None,Raft,Raft,Masonry/Timber,Masonry Only,28265,37446,41234,38425,62.0,82.1,90.4,84.3,3500,0.093,84380,9960,0.266,340,15205,0.406,2020,4302,0.115,0,0,0.0,2061,3293,0.088,2384,1185,0.032,0,0,0.0,0,0,0,0,0,0,0,0,1,0
59,Stage 5,RH10,1250,4.3,Whole Building,Educational,New Build (Brownfield),3,No,Partial Footprint,Reinforced Pads/Strips,Suspended Precast,Timber Frame (Glulam/CLT),Lightweight/SFS,195811,270210,292662,246906,156.6,216.2,234.1,197.5,30100,0.111,907665,91420,0.338,312,19856,0.073,16560,35262,0.13,0,0,0.0,0,0,0.0,0,0,0.0,151972,93573,0.346,0,0,1,0,0,0,0,0,0,0
60,Stage 4,N16,476,1.0,Whole Building,Residential (Single),New Build (Brownfield),4,No,Full Footprint,Raft,Other,Steel Frame/Timber,Masonry Only,139873,161775,170966,142464,293.9,339.9,359.2,299.3,7000,0.043,480866,64431,0.398,303,6787,0.042,26538,56508,0.349,1376,4271,0.026,11760,18794,0.116,8013,3983,0.025,0,0,0.0,0,0,0,0,0,0,0,0,1,0
61,As-Built,N5,7970,23.0,Whole Building,Educational,Mixed New Build/Refurb,5,No,Full Footprint,Piles (Pile Caps),Suspended RC,Steel Frame/Composite,Lightweight/SFS,576783,780930,828246,716710,72.4,98.0,103.9,89.9,161000,0.206,1545186,206912,0.265,263,14281,0.018,63811,135874,0.174,7301,22664,0.029,149204,238446,0.305,3527,1753,0.002,0,0,0.0,0,0,1,0,0,0,0,0,0,0
62,Stage 2,TN34,450,1.0,Whole Building,Commercial,Mixed New Build/Refurb,2,No,Partial Footprint,Other,Other,Steel Frame/Timber,Lightweight/SFS,50217,61206,65221,54767,111.6,136.0,144.9,121.7,7000,0.114,28298,2501,0.041,262,5857,0.096,0,0,0.0,0,0,0.0,27578,44073,0.72,5010,1775,0.029,0,0,0.0,1,0,0,0,0,0,0,0,0,0
63,Stage 4,N3,1143,8.5,Whole Building,Residential (Single),Mixed New Build/Refurb,3,No,Partial Footprint,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Timber,Masonry Only,97700,169713,179924,165375,85.5,148.5,157.4,144.7,59500,0.351,339113,40182,0.237,256,22244,0.131,11829,25187,0.148,0,0,0.0,13512,21594,0.127,2842,1007,0.006,0,0,0.0,0,0,0,0,0,0,0,0,1,0
64,As-Built,EX23,220,0.4,Whole Building,Residential (Single),New Build (Greenfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Masonry/Timber,Masonry Only,31180,42200,47270,46119,141.7,191.8,214.9,209.6,2800,0.066,195582,17799,0.422,238,17547,0.416,625,1331,0.032,0,0,0.0,0,0,0.0,431,153,0.004,2624,2570,0.061,0,0,0,0,0,0,0,0,1,0
65,Stage 5,SE24,108,1.4,Whole Building,Residential (Single),New Build (Brownfield),3,No,None,Mass Pads/Strips,Suspended RC,Masonry/Timber,Other,23836,38464,41726,40587,220.7,356.2,386.4,375.8,9800,0.255,142896,13406,0.349,228,12270,0.319,1169,2488,0.065,0,0,0.0,0,0,0.0,1005,500,0.013,0,0,0.0,0,0,0,0,0,0,0,0,1,0
66,Stage 5,HA8,126,0.7,Whole Building,Educational,New Build (Brownfield),2,No,None,Piled Ground Beams,Suspended RC,Masonry/Timber,Masonry Only,31980,42376,45674,40908,253.8,336.3,362.5,324.7,4900,0.116,108722,14791,0.349,222,8990,0.212,4319,9196,0.217,0,0,0.0,609,973,0.023,2724,967,0.023,2612,2558,0.06,0,0,1,0,0,0,0,0,0,0
